id;block;typ;de;en;es;k_es;pt;k_pt;fr;k_fr;anmerkung
A005;A;hart;5. Mose;Deuteronomy;Deuteronomio;3;Deuteronômio;3;Deutéronome;3;
A007;A;weich;Richter;Judges;Jueces;3;Juízes;3;Juges;3;WEICH: Richter ist im Deutschen doppeldeutig. Nur bei Stellenangabe erzwingen.
A020;A;weich;Sprüche;Proverbs;Proverbios;3;Provérbios;3;Proverbes;3;WEICH: RU Pritchi heisst zugleich Gleichnisse. Siehe C072.
A021;A;weich;Prediger;Ecclesiastes;Eclesiastés;3;Eclesiastes;3;Ecclésiastes;3;WEICH: Prediger ist im Deutschen doppeldeutig (Buch vs. Person). Siehe D028.
A022;A;hart;Hohelied;Song of Songs;Cantares;3;Cânticos;3;Cantique des Cantiques;3;
A025;A;hart;Klagelieder;Lamentations;Lamentaciones;3;Lamentações;3;Lamentations;3;
A035;A;hart;Habakuk;Habakkuk;Habacuc;3;Habacuque;3;Habacuc;3;
A037;A;hart;Haggai;Haggai;Hageo;3;Ageu;3;Aggée;3;
A044;A;hart;Apostelgeschichte;Acts;Hechos;3;Atos;3;Actes;3;
A058;A;hart;Hebräer;Hebrews;Hebreos;3;Hebreus;3;Hébreux;3;Adventistisch zentral wegen Heiligtumslehre.
A059;A;hart;Jakobus;James;Santiago;3;Tiago;3;Jacques;3;FALLSTRICK: EN James sieht wie ein anderer Name aus. FA Yaqub = zugleich Jakob im AT.
A066;A;weich;Offenbarung;Revelation;Apocalipsis;3;Apocalipse;3;Apocalypse;3;WEICH: Offenbarung als Buch vs. Offenbarung als Sachbegriff. Siehe C022.
C006;C;hart;Rechtfertigung;justification;justificación;3;justificação;3;justification;3;FA: Verbalkonstruktion. Konsistenz mit C Gerechtigkeit pruefen.
C007;C;hart;Heiligung;sanctification;santificación;3;santificação;3;sanctification;3;
C008;C;hart;Erlösung;redemption;redención;3;redenção;3;rédemption;3;Loskauf. Abgrenzen von Heil = Rettung.
C010;C;hart;Erlöser;Redeemer;Redentor;3;Redentor;3;Rédempteur;3;Gleicher FA-Terminus wie Heiland.
C011;C;hart;Heiland;Savior;Salvador;3;Salvador;3;Sauveur;3;
C012;C;hart;Sünde;sin;pecado;3;pecado;3;péché;3;
C014;C;hart;Buße;repentance;arrepentimiento;3;arrependimento;3;repentance;3;
C016;C;hart;Bekehrung;conversion;conversión;3;conversão;3;conversion;3;
C017;C;hart;Vergebung;forgiveness;perdón;3;perdão;3;pardon;3;
C028;C;weich;Bund;covenant;pacto;3;pacto;3;alliance;3;WEICH: RU zavet auch fuer Testament (Vetkhiy Zavet = AT). Kontext.
C033;C;hart;Evangelium;gospel;evangelio;3;evangelho;3;Évangile;3;
C034;C;hart;Prophetie;prophecy;profecía;3;profecia;3;prophétie;3;
C038;C;weich;Gemeinde;congregation;congregación;3;congregação;3;église;3;DE Gemeinde meint die Ortsgemeinde. EN church doppeldeutig, congregation praeziser.
C040;C;hart;Taufe;baptism;bautismo;3;batismo;3;baptême;3;
C041;C;hart;Abendmahl;Lord's Supper;Cena del Señor;3;Ceia do Senhor;3;Sainte Cène;3;
C042;C;hart;Fußwaschung;foot washing;lavado de pies;3;lavagem dos pés;3;lavage des pieds;3;
C043;C;hart;Gebet;prayer;oración;3;oração;3;prière;3;
C044;C;hart;Anbetung;worship;adoración;3;adoração;3;adoration;3;
C046;C;hart;Segen;blessing;bendición;3;bênção;3;bénédiction;3;
C053;C;hart;Auferstehung;resurrection;resurrección;3;ressurreição;3;résurrection;3;FA: qiyamat ist islamisch als Juengster Tag besetzt, rastakhiz neutraler.
C055;C;hart;Wiederkunft;Second Coming;Segunda Venida;3;Segunda Vinda;3;Second Retour;3;Zentralbegriff. Muss sitzen.
C067;C;hart;Heiligtum;sanctuary;santuario;3;santuário;3;sanctuaire;3;
C068;C;hart;Allerheiligste;Most Holy Place;Lugar Santísimo;3;Lugar Santíssimo;3;Lieu Saint des Saints;3;
C072;C;hart;Gesetz;law;ley;3;lei;3;loi;3;FA: shariat ist islamisch stark besetzt. Alternative qanun pruefen.
C073;C;hart;Zehn Gebote;Ten Commandments;Diez Mandamientos;3;Dez Mandamentos;3;Dix Commandements;3;
C074;C;hart;Gebot;commandment;mandamiento;3;mandamento;3;commandement;3;
C077;C;weich;Sabbat;Sabbath;Sábado;3;Sábado;3;sabbat;3;WEICH: RU subbota ist zugleich der Wochentag Samstag. Kontext entscheidet.
C082;C;hart;Seelsorge;pastoral care;pastoral;3;pastoral;3;soins pastoraux;3;RU pruefen, dushepopechenie ist teils orthodox konnotiert.
C083;C;weich;Gemeinschaft;fellowship;comunión;3;comunhão;3;fraternité;3;
C110;C;hart;Schöpfung;creation;Creación;3;Criação;3;création;3;RU tvorenie theologisch, sozdanie technisch.
C111;C;hart;Schöpfer;Creator;Creador;3;Criador;3;Créateur;3;
C118;C;hart;Erweckung;revival;avivamiento;3;avivamento;3;réveil;3;
D001;D;hart;Adventgemeinde;Seventh-day Adventist Church;Iglesia Adventista del Séptimo Día;3;Igreja Adventista do Sétimo Dia;3;Église Adventiste du Septième Jour;3;
D002;D;hart;Siebenten-Tags-Adventist;Seventh-day Adventist;Adventista del Séptimo Día;3;Adventista do Sétimo Dia;3;Adventiste du Septième Jour;3;
D003;D;hart;Sabbatschule;Sabbath School;Escuela Sabática;3;Escola Sabatina;3;École du Sabbat;3;
D004;D;hart;Gottesdienst;worship service;servicio de adoración;3;culto;3;culte;3;
