id;block;typ;de;en;es;k_es;pt;k_pt;anmerkung
A005;A;hart;5. Mose;Deuteronomy;Deuteronomio;3;Deuteronômio;3;
A007;A;weich;Richter;Judges;Jueces;3;Juízes;3;WEICH: Richter ist im Deutschen doppeldeutig. Nur bei Stellenangabe erzwingen.
A020;A;weich;Sprüche;Proverbs;Proverbios;3;Provérbios;3;WEICH: RU Pritchi heisst zugleich Gleichnisse. Siehe C072.
A021;A;weich;Prediger;Ecclesiastes;Eclesiastés;3;Eclesiastes;3;WEICH: Prediger ist im Deutschen doppeldeutig (Buch vs. Person). Siehe D028.
A022;A;hart;Hohelied;Song of Songs;Cantares;3;Cânticos;3;
A025;A;hart;Klagelieder;Lamentations;Lamentaciones;3;Lamentações;3;
A035;A;hart;Habakuk;Habakkuk;Habacuc;3;Habacuque;3;
A037;A;hart;Haggai;Haggai;Hageo;3;Ageu;3;
A044;A;hart;Apostelgeschichte;Acts;Hechos;3;Atos;3;
A058;A;hart;Hebräer;Hebrews;Hebreos;3;Hebreus;3;Adventistisch zentral wegen Heiligtumslehre.
A059;A;hart;Jakobus;James;Santiago;3;Tiago;3;FALLSTRICK: EN James sieht wie ein anderer Name aus. FA Yaqub = zugleich Jakob im AT.
A066;A;weich;Offenbarung;Revelation;Apocalipsis;3;Apocalipse;3;WEICH: Offenbarung als Buch vs. Offenbarung als Sachbegriff. Siehe C022.
C006;C;hart;Rechtfertigung;justification;justificación;3;justificação;3;FA: Verbalkonstruktion. Konsistenz mit C Gerechtigkeit pruefen.
C007;C;hart;Heiligung;sanctification;santificación;3;santificação;3;
C014;C;hart;Buße;repentance;arrepentimiento;3;arrependimento;3;
C016;C;hart;Bekehrung;conversion;conversión;3;conversão;3;
C028;C;weich;Bund;covenant;pacto;3;pacto;3;WEICH: RU zavet auch fuer Testament (Vetkhiy Zavet = AT). Kontext.
C033;C;hart;Evangelium;gospel;evangelio;3;evangelho;3;
C038;C;weich;Gemeinde;congregation;congregación;3;congregação;3;DE Gemeinde meint die Ortsgemeinde. EN church doppeldeutig, congregation praeziser.
C040;C;hart;Taufe;baptism;bautismo;3;batismo;3;
C044;C;hart;Anbetung;worship;adoración;3;adoração;3;
C082;C;hart;Seelsorge;pastoral care;pastoral;3;pastoral;3;RU pruefen, dushepopechenie ist teils orthodox konnotiert.
C118;C;hart;Erweckung;revival;avivamiento;3;avivamento;3;
D001;D;hart;Adventgemeinde;Seventh-day Adventist Church;Iglesia Adventista del Séptimo Día;3;Igreja Adventista do Sétimo Dia;3;
D002;D;hart;Siebenten-Tags-Adventist;Seventh-day Adventist;Adventista del Séptimo Día;3;Adventista do Sétimo Dia;3;
D003;D;hart;Sabbatschule;Sabbath School;Escuela Sabática;3;Escola Sabatina;3;
D004;D;hart;Gottesdienst;worship service;servicio de adoración;3;culto;3;
D005;D;hart;Himmlisches Heiligtum;heavenly sanctuary;santuario celestial;3;santuário celestial;3;Kernlehre. FA muss geprueft werden.
D006;D;hart;Untersuchungsgericht;investigative judgment;juicio investigador;3;julgamento investigativo;3;Zentrale adventistische Lehre ohne selbstverstaendliche persische Entsprechung.
D007;D;hart;Vorabschließendes Gericht;pre-advent judgment;juicio previo al adviento;2;julgamento pré-advento;2;Neuere Bezeichnung fuer dieselbe Lehre.
D008;D;hart;Großer Kampf;great controversy;gran conflicto;3;grande conflito;3;Auch Buchtitel von E. G. White.
D009;D;hart;Geist der Prophetie;Spirit of Prophecy;Espíritu de Profecía;3;Espírito de Profecia;3;
D010;D;hart;Ellen G. White;Ellen G. White;Ellen G. White;3;Ellen G. White;3;Eigenname. Nicht uebersetzen, nur transliterieren.
D011;D;hart;Zustand der Toten;state of the dead;estado de los muertos;3;estado dos mortos;3;
D012;D;hart;Seelenschlaf;soul sleep;sueño de la muerte;3;sono da morte;3;
D013;D;hart;Unsterblichkeit der Seele;immortality of the soul;inmortalidad del alma;3;imortalidade da alma;3;Meist in Ablehnung gebraucht.
D014;D;hart;Dreiengelsbotschaft;three angels' messages;mensaje de los tres ángeles;3;mensagem dos três anjos;3;
D015;D;hart;Übrige;remnant;el remanente;3;o remanescente;3;DE uneinheitlich. Klaeren, welche Form die Gemeinde nutzt.
